ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAEDAAECAQAAAAAAAECPQA==
ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	jp.rafaelzig.rafka.pubsub.Subscriber	subscriber	1609142004200	 	3.2.1
REQUEST	127		/message/ack	1609142025024	1609142025034	OK	 
USER	getAndAck	127	END	1609142025023	1609142025035
USER	getAndAck	128	START	1609142025064	1609142025064
REQUEST	128		/message/get	1609142025065	1609142025071	OK	 
USER	getAndAck	128	END	1609142025064	1609142025071
USER	getAndAck	129	START	1609142025093	1609142025093
REQUEST	129		/message/ack	1609142025094	1609142025102	OK	 
USER	getAndAck	129	END	1609142025093	1609142025102
USER	getAndAck	130	START	1609142025133	1609142025133
REQUEST	130		/message/get	1609142025134	1609142025139	OK	 
USER	getAndAck	130	END	1609142025133	1609142025139
USER	getAndAck	131	START	1609142025163	1609142025163
REQUEST	131		/message/ack	1609142025164	1609142025169	OK	 
USER	getAndAck	131	END	1609142025163	1609142025169
USER	getAndAck	132	START	1609142025203	1609142025203
REQUEST	132		/message/get	1609142025204	1609142025212	OK	 
USER	getAndAck	132	END	1609142025203	1609142025213
USER	getAndAck	133	START	1609142025234	1609142025234
REQUEST	133		/message/ack	1609142025234	1609142025239	OK	 
USER	getAndAck	133	END	1609142025234	1609142025239
USER	getAndAck	134	START	1609142025264	1609142025264
REQUEST	134		/message/get	1609142025264	1609142025274	OK	 
USER	getAndAck	134	END	1609142025264	1609142025274
USER	getAndAck	135	START	1609142025303	1609142025303
REQUEST	135		/message/ack	1609142025304	1609142025313	OK	 
USER	getAndAck	135	END	1609142025303	1609142025313
USER	getAndAck	136	START	1609142025333	1609142025333
REQUEST	136		/message/get	1609142025334	1609142025349	OK	 
USER	getAndAck	136	END	1609142025333	1609142025349
USER	getAndAck	137	START	1609142025373	1609142025373
REQUEST	137		/message/ack	1609142025375	1609142025383	OK	 
USER	getAndAck	137	END	1609142025373	1609142025384
USER	getAndAck	138	START	1609142025404	1609142025404
REQUEST	138		/message/get	1609142025405	1609142025412	OK	 
USER	getAndAck	138	END	1609142025404	1609142025412
USER	getAndAck	139	START	1609142025444	1609142025444
REQUEST	139		/message/ack	1609142025444	1609142025455	OK	 
USER	getAndAck	139	END	1609142025444	1609142025456
USER	getAndAck	140	START	1609142025474	1609142025474
REQUEST	140		/message/get	1609142025474	1609142025479	OK	 
USER	getAndAck	140	END	1609142025474	1609142025480
USER	getAndAck	141	START	1609142025514	1609142025514
REQUEST	141		/message/ack	1609142025515	1609142025523	OK	 
USER	getAndAck	141	END	1609142025514	1609142025524
USER	getAndAck	142	START	1609142025543	1609142025543
REQUEST	142		/message/get	1609142025544	1609142025566	OK	 
USER	getAndAck	142	END	1609142025543	1609142025567
USER	getAndAck	143	START	1609142025584	1609142025584
REQUEST	143		/message/ack	1609142025585	1609142025591	OK	 
USER	getAndAck	143	END	1609142025584	1609142025592
USER	getAndAck	144	START	1609142025614	1609142025614
REQUEST	144		/message/get	1609142025615	1609142025636	OK	 
USER	getAndAck	144	END	1609142025614	1609142025637
USER	getAndAck	145	START	1609142025644	1609142025644
REQUEST	145		/message/ack	1609142025644	1609142025662	OK	 
USER	getAndAck	145	END	1609142025644	1609142025662
USER	getAndAck	146	START	1609142025684	1609142025684
REQUEST	146		/message/get	1609142025684	1609142025710	OK	 
USER	getAndAck	146	END	1609142025684	1609142025711
USER	getAndAck	147	START	1609142025713	1609142025713
USER	getAndAck	148	START	1609142025743	1609142025743
REQUEST	147		/message/ack	1609142025714	1609142025744	OK	 
USER	getAndAck	147	END	1609142025713	1609142025744
REQUEST	148		/message/get	1609142025744	1609142025765	OK	 
USER	getAndAck	148	END	1609142025743	1609142025765
USER	getAndAck	149	START	1609142025774	1609142025774
USER	getAndAck	150	START	1609142025803	1609142025803
REQUEST	149		/message/ack	1609142025776	1609142025813	OK	 
USER	getAndAck	149	END	1609142025774	1609142025813
USER	getAndAck	151	START	1609142025834	1609142025834
REQUEST	150		/message/get	1609142025805	1609142025836	OK	 
USER	getAndAck	150	END	1609142025803	1609142025836
REQUEST	151		/message/ack	1609142025835	1609142025845	OK	 
USER	getAndAck	151	END	1609142025834	1609142025845
USER	getAndAck	152	START	1609142025863	1609142025863
REQUEST	152		/message/get	1609142025864	1609142025878	OK	 
USER	getAndAck	152	END	1609142025863	1609142025878
USER	getAndAck	153	START	1609142025893	1609142025893
REQUEST	153		/message/ack	1609142025894	1609142025899	OK	 
USER	getAndAck	153	END	1609142025893	1609142025899
USER	getAndAck	154	START	1609142025934	1609142025934
REQUEST	154		/message/get	1609142025935	1609142025938	OK	 
USER	getAndAck	154	END	1609142025934	1609142025939
USER	getAndAck	155	START	1609142025964	1609142025964
REQUEST	155		/message/ack	1609142025964	1609142025971	OK	 
USER	getAndAck	155	END	1609142025964	1609142025972
USER	getAndAck	156	START	1609142025993	1609142025993
REQUEST	156		/message/get	1609142025994	1609142025999	OK	 
USER	getAndAck	156	END	1609142025993	1609142025999
USER	getAndAck	157	START	1609142026023	1609142026023
REQUEST	157		/message/ack	1609142026024	1609142026034	OK	 
USER	getAndAck	157	END	1609142026023	1609142026034
USER	getAndAck	158	START	1609142026054	1609142026054
REQUEST	158		/message/get	1609142026055	1609142026058	OK	 
USER	getAndAck	158	END	1609142026054	1609142026058
USER	getAndAck	159	START	1609142026083	1609142026083
REQUEST	159		/message/ack	1609142026084	1609142026089	OK	 
USER	getAndAck	159	END	1609142026083	1609142026090
USER	getAndAck	160	START	1609142026114	1609142026114
REQUEST	160		/message/get	1609142026114	1609142026120	OK	 
USER	getAndAck	160	END	1609142026114	1609142026121
USER	getAndAck	161	START	1609142026144	1609142026144
REQUEST	161		/message/ack	1609142026144	1609142026151	OK	 
USER	getAndAck	161	END	1609142026144	1609142026152
USER	getAndAck	162	START	1609142026184	1609142026184
REQUEST	162		/message/get	1609142026184	1609142026188	OK	 
