ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAEDAAECAQAAAAAAAECPQA==
ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	jp.rafaelzig.rafka.pubsub.Publisher	publisher	1609142004263	 	3.2.1
REQUEST	157		/message/publish	1609142021071	1609142021077	OK	 
USER	publish	157	END	1609142021070	1609142021077
USER	publish	158	START	1609142021100	1609142021100
REQUEST	158		/message/publish	1609142021101	1609142021111	OK	 
USER	publish	158	END	1609142021100	1609142021111
USER	publish	159	START	1609142021140	1609142021140
REQUEST	159		/message/publish	1609142021141	1609142021151	OK	 
USER	publish	159	END	1609142021140	1609142021151
USER	publish	160	START	1609142021171	1609142021171
REQUEST	160		/message/publish	1609142021171	1609142021179	OK	 
USER	publish	160	END	1609142021171	1609142021179
USER	publish	161	START	1609142021201	1609142021201
REQUEST	161		/message/publish	1609142021201	1609142021207	OK	 
USER	publish	161	END	1609142021201	1609142021207
USER	publish	162	START	1609142021230	1609142021230
REQUEST	162		/message/publish	1609142021231	1609142021236	OK	 
USER	publish	162	END	1609142021230	1609142021237
USER	publish	163	START	1609142021260	1609142021260
REQUEST	163		/message/publish	1609142021261	1609142021283	OK	 
USER	publish	163	END	1609142021260	1609142021284
USER	publish	164	START	1609142021291	1609142021291
REQUEST	164		/message/publish	1609142021291	1609142021297	OK	 
USER	publish	164	END	1609142021291	1609142021298
USER	publish	165	START	1609142021321	1609142021321
REQUEST	165		/message/publish	1609142021321	1609142021327	OK	 
USER	publish	165	END	1609142021321	1609142021327
USER	publish	166	START	1609142021351	1609142021351
REQUEST	166		/message/publish	1609142021351	1609142021357	OK	 
USER	publish	166	END	1609142021351	1609142021357
USER	publish	167	START	1609142021391	1609142021391
USER	publish	168	START	1609142021421	1609142021421
REQUEST	167		/message/publish	1609142021391	1609142021422	OK	 
USER	publish	167	END	1609142021391	1609142021422
REQUEST	168		/message/publish	1609142021421	1609142021432	OK	 
USER	publish	168	END	1609142021421	1609142021433
USER	publish	169	START	1609142021450	1609142021450
REQUEST	169		/message/publish	1609142021451	1609142021457	OK	 
USER	publish	169	END	1609142021450	1609142021458
USER	publish	170	START	1609142021481	1609142021481
REQUEST	170		/message/publish	1609142021482	1609142021494	OK	 
USER	publish	170	END	1609142021481	1609142021495
USER	publish	171	START	1609142021511	1609142021511
REQUEST	171		/message/publish	1609142021511	1609142021518	OK	 
USER	publish	171	END	1609142021511	1609142021519
USER	publish	172	START	1609142021540	1609142021540
REQUEST	172		/message/publish	1609142021541	1609142021547	OK	 
USER	publish	172	END	1609142021540	1609142021548
USER	publish	173	START	1609142021570	1609142021570
REQUEST	173		/message/publish	1609142021571	1609142021578	OK	 
USER	publish	173	END	1609142021570	1609142021579
USER	publish	174	START	1609142021601	1609142021601
REQUEST	174		/message/publish	1609142021602	1609142021611	OK	 
